contract_id,sim_to_Affiliate License-Licensee,sim_to_Affiliate License-Licensor,sim_to_Agreement Date,sim_to_Anti-Assignment,sim_to_Audit Rights,sim_to_Cap On Liability,sim_to_Change Of Control,sim_to_Competitive Restriction Exception,sim_to_Covenant Not To Sue,sim_to_Document Name,sim_to_Effective Date,sim_to_Exclusivity,sim_to_Expiration Date,sim_to_Governing Law,sim_to_Insurance,sim_to_Ip Ownership Assignment,sim_to_Irrevocable Or Perpetual License,sim_to_Joint Ip Ownership,sim_to_License Grant,sim_to_Liquidated Damages,sim_to_Minimum Commitment,sim_to_Most Favored Nation,sim_to_No-Solicit Of Customers,sim_to_No-Solicit Of Employees,sim_to_Non-Compete
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,0.38426155,0.40801978,0.2655062,0.4444804,0.2947445,0.37784457,0.47262102,0.49554318,0.42096132,0.42727986,0.5735273,0.4125618,0.5320773,0.49584532,0.37338036,0.47132418,0.38813114,0.50103486,0.341671,0.3818371,0.44628525,0.33962408,0.52020496,0.45586425,0.33186817
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,0.44802946,0.3613001,0.1605077,0.48219383,0.24847937,0.4399153,0.48222995,0.44767344,0.4328375,0.37649244,0.3944885,0.3707416,0.3439972,0.47576904,0.3449356,0.46395066,0.32407576,0.4190461,0.40432918,0.28624225,0.37914455,0.3015588,0.4741742,0.26928437,0.4459473
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",0.3675409,0.36035275,0.2566545,0.39760298,0.28934857,0.3161338,0.47324955,0.37793005,0.3496809,0.396172,0.5316211,0.33725,0.49185807,0.33598322,0.472083,0.3962016,0.30720168,0.55327964,0.384093,0.38365412,0.48008966,0.36587012,0.4537823,0.4231282,0.39066625
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,0.33531564,0.2514297,0.22820151,0.36999178,0.22620961,0.34026778,0.35513797,0.34855503,0.2866691,0.36052644,0.42392737,0.25451723,0.43002072,0.38956708,0.35426334,0.392619,0.28087366,0.32938674,0.24038386,0.32081294,0.33503467,0.3251568,0.35521132,0.3555997,0.46087635
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,0.37411088,0.401487,0.29616633,0.48619354,0.31908065,0.38882232,0.41683182,0.41593137,0.4363432,0.42508447,0.51668084,0.4742142,0.47451758,0.5208406,0.481208,0.37846738,0.32419676,0.38988936,0.4523338,0.33053923,0.46259123,0.30063966,0.45124918,0.39350456,0.38613674
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,0.22841056,0.254843,0.25880906,0.30086148,0.1739189,0.2714389,0.2659831,0.23904085,0.23953417,0.3113041,0.2676263,0.35876584,0.36887187,0.25824288,0.21793127,0.26451403,0.34577107,0.23858425,0.22159731,0.21049851,0.3508983,0.29371762,0.30438426,0.12725776,0.22646251
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,0.23549376,0.28760427,0.1914252,0.26636392,0.11466517,0.24288474,0.25664198,0.24995622,0.3219087,0.2491236,0.255943,0.34461835,0.2825041,0.27904055,0.2276887,0.23976687,0.19841139,0.21928081,0.29515988,0.14580905,0.27860948,0.13636906,0.2521852,0.21748677,0.24630642
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4,0.27639583,0.3198027,0.10455321,0.3716062,0.22577745,0.31173623,0.31290758,0.26936406,0.4131736,0.36449343,0.18364966,0.35163254,0.28007546,0.26457,0.20462656,0.28389168,0.1841386,0.2572682,0.34514636,0.15324268,0.32297468,0.2211816,0.2925604,0.102250144,0.28828233
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement,0.43574095,0.47933424,0.19002712,0.48712832,0.23680276,0.3197263,0.44245487,0.48555303,0.5196463,0.4800663,0.49580675,0.3925677,0.4843539,0.47594577,0.4283526,0.44544262,0.34736753,0.47736302,0.45515743,0.3643804,0.44783223,0.29266,0.52682734,0.43943655,0.49395394
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,0.42507353,0.4551841,0.19068938,0.45239818,0.21129584,0.31989446,0.4168601,0.40424937,0.44200948,0.40094966,0.46630406,0.4293903,0.45404583,0.40056023,0.3871033,0.5703842,0.41665554,0.39749098,0.4239449,0.2640323,0.43663567,0.2735668,0.40835607,0.41939905,0.47418708
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,0.33782452,0.33390647,0.32833618,0.4362455,0.32596523,0.37883908,0.38823086,0.41266975,0.3402123,0.48577392,0.59155697,0.37877107,0.7536165,0.46001917,0.43602598,0.42541534,0.32077718,0.52969456,0.3792184,0.45672864,0.4015289,0.41527697,0.42232406,0.45540646,0.38926685
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,0.515076,0.56942546,0.1880732,0.52109444,0.382513,0.47333908,0.5386832,0.49985546,0.5146,0.48602322,0.46511778,0.49697018,0.46595478,0.44821656,0.43157905,0.47585964,0.37500775,0.5465603,0.4627417,0.4221336,0.47250092,0.44208187,0.6380651,0.50999945,0.46237296
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",0.2782066,0.331514,0.20236045,0.4070441,0.1912388,0.3430883,0.31346327,0.35904157,0.36085582,0.37538242,0.28529337,0.3269366,0.31905073,0.2313611,0.2858525,0.3337568,0.24888448,0.30009586,0.3865315,0.27330253,0.3769585,0.22146174,0.3275752,0.29411,0.25232738
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT",0.4680305,0.6351559,0.21092567,0.5887879,0.23573145,0.42384136,0.5428344,0.47636554,0.46912658,0.56834114,0.46150237,0.47122002,0.43259868,0.47921836,0.35252792,0.5718072,0.50636,0.6135606,0.59935164,0.3843667,0.3691535,0.45059463,0.4409447,0.38863462,0.39224297
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT,0.36276805,0.34189838,0.2901372,0.44837838,0.28706092,0.28179654,0.3682045,0.39979208,0.3211545,0.48931384,0.6120013,0.35050726,0.5618374,0.4097334,0.43616772,0.3187288,0.3124423,0.4320854,0.36384398,0.40634793,0.40180385,0.314174,0.47458875,0.47035623,0.36004764
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,0.2949251,0.29007825,0.35050112,0.3314794,0.2696496,0.24441697,0.35900432,0.36688507,0.3294639,0.39040685,0.58521616,0.33591586,0.51007545,0.36450493,0.28804398,0.28700775,0.29832256,0.46494293,0.32602793,0.38676363,0.37898648,0.25144777,0.48362675,0.43063465,0.27711958
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement",0.37875634,0.4434307,0.18799202,0.45789987,0.24713556,0.38046563,0.3810634,0.35680452,0.3919801,0.46279636,0.32136673,0.438361,0.376512,0.37613666,0.25471678,0.40739423,0.32925522,0.47440755,0.5221616,0.161234,0.2879323,0.23494825,0.3980698,0.2915834,0.29622298
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,0.34519833,0.32033506,0.3194204,0.39139724,0.28820533,0.29689133,0.36456704,0.37533206,0.31532156,0.4129296,0.6629796,0.3598133,0.5814174,0.58235514,0.37815887,0.3846627,0.3473553,0.48753336,0.3358161,0.43258852,0.37068075,0.30043036,0.44971406,0.5067542,0.29806614
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,0.17349017,0.2163656,0.42360395,0.29871297,0.18101029,0.33186623,0.37634248,0.31689134,0.29229516,0.35771155,0.65432024,0.32287514,0.5800128,0.35343292,0.30255264,0.2711767,0.23227501,0.37920457,0.3406533,0.38220072,0.3789123,0.25748503,0.32798395,0.40797454,0.32230318
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement,0.344156,0.3223074,0.31310645,0.320815,0.32267737,0.28883183,0.43119776,0.4309137,0.34972024,0.3835167,0.6135653,0.3229124,0.5268852,0.32333702,0.29383883,0.39209354,0.40773097,0.47108984,0.39856532,0.3252369,0.31539434,0.35944894,0.41213202,0.47321427,0.35166985
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,0.3918455,0.3486607,0.16331026,0.46568197,0.14213412,0.3105011,0.49126023,0.48570734,0.39352742,0.42867038,0.48924607,0.35107577,0.42376792,0.46150333,0.282225,0.37381285,0.29110068,0.4971155,0.40708542,0.31997406,0.3565614,0.3013546,0.4488826,0.42313796,0.38377
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement,0.13417205,0.12442279,0.089341566,0.17014405,0.21125141,0.12351968,0.3107718,0.17280953,0.020511553,0.2165202,0.22720471,0.16101852,0.28422716,0.094736785,0.256805,0.12822118,0.2570003,0.2393978,0.30689245,0.33301055,0.18520483,0.29333645,0.24435408,0.23734307,0.15174583
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement,0.3085746,0.27757287,0.2815734,0.3693171,0.24732624,0.20444532,0.36546713,0.34290648,0.34587947,0.35074097,0.49520665,0.28352374,0.41861153,0.28345582,0.2119287,0.33089113,0.3209424,0.39494666,0.3347552,0.18713824,0.24871105,0.24547945,0.3098039,0.3490141,0.2931723
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",0.34537268,0.31798816,0.34494042,0.39848042,0.33666414,0.32494944,0.4029382,0.37892133,0.36749965,0.51392937,0.57152677,0.34217027,0.5254056,0.31054574,0.38139158,0.36527425,0.27188724,0.44572031,0.46837276,0.30359042,0.32916582,0.25843367,0.40312403,0.4753466,0.3326987
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT",0.35729593,0.33970958,0.3025274,0.4123775,0.30252823,0.3327645,0.41835332,0.47797996,0.40345672,0.37257552,0.61261225,0.3701522,0.53073144,0.39289933,0.3620792,0.31505996,0.2794286,0.5398965,0.45512646,0.37753105,0.40194517,0.2710305,0.5655539,0.5149784,0.43339288
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,0.43347093,0.41741163,0.28603625,0.4798558,0.34096518,0.39358371,0.4977125,0.43059343,0.3846894,0.47200286,0.6721881,0.477359,0.58566016,0.63676715,0.46087116,0.45565087,0.42515764,0.5503403,0.47094205,0.44157505,0.39816806,0.3359753,0.529572,0.5182749,0.365866
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",0.49328917,0.5681211,0.20728934,0.552652,0.27920705,0.34596908,0.48867548,0.50303715,0.5373064,0.5487987,0.45755076,0.43149632,0.4356684,0.4649642,0.44340774,0.535553,0.40778416,0.4574407,0.5516452,0.31636786,0.43873864,0.30701974,0.450556,0.43290895,0.43841302
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,0.39273736,0.30116165,0.18963188,0.47866824,0.32763693,0.37688273,0.4483197,0.37904274,0.36183733,0.3243474,0.50026673,0.37253338,0.3828588,0.42721784,0.38196623,0.4099736,0.25785828,0.50977373,0.32320243,0.4355299,0.25013256,0.33259368,0.4446586,0.49053472,0.41244864
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,0.25082484,0.26435757,0.37580258,0.33721933,0.3164975,0.31211653,0.3413763,0.32832167,0.3274751,0.3210771,0.77551806,0.3059754,0.50406927,0.30183107,0.26424617,0.34612018,0.21455538,0.4629442,0.31528756,0.39463624,0.356255,0.21688867,0.4470071,0.56440645,0.25089535
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,0.40246162,0.38639492,0.16595227,0.44462633,0.36268595,0.32197523,0.3857673,0.43428123,0.36814952,0.47468808,0.46109387,0.35552543,0.46124452,0.40406296,0.4355074,0.36532062,0.2995194,0.4463418,0.36246163,0.41033465,0.361215,0.34620088,0.4954994,0.3901197,0.3582339
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,0.29833072,0.3937221,0.22718678,0.3916131,0.26218462,0.1786056,0.33388546,0.36129594,0.30070627,0.57414556,0.276679,0.3313607,0.38364434,0.22779566,0.36161923,0.32071412,0.35355785,0.3935919,0.37810552,0.23745465,0.32921076,0.25063762,0.35430396,0.2099165,0.3102821
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3,0.2956383,0.3517898,0.293146,0.3899263,0.2797149,0.16310112,0.32009882,0.38792408,0.28276527,0.56513846,0.36958325,0.33484638,0.42129672,0.28312948,0.3824864,0.30605906,0.3579517,0.39671928,0.3719213,0.2792928,0.38292003,0.26440638,0.3777186,0.23651698,0.28844136
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,0.26833117,0.266347,0.21286666,0.33940464,0.30249685,0.22270364,0.32322878,0.32314062,0.2796632,0.46164274,0.46135843,0.2551893,0.5547612,0.25370795,0.4206755,0.22999993,0.28117087,0.35402438,0.2691781,0.3494232,0.32849887,0.27286136,0.39840588,0.34472275,0.29677492
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement,0.4276876,0.43889168,0.26480958,0.5555786,0.36994725,0.54538804,0.56236625,0.45735633,0.52338463,0.5093962,0.5615221,0.4473828,0.52736664,0.461543,0.39348257,0.4953049,0.337613,0.5195383,0.45434123,0.54292226,0.5149944,0.43344277,0.5777099,0.5561464,0.43679696
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,0.41991195,0.4791634,0.121837154,0.46708897,0.27333975,0.45416173,0.48257726,0.42850357,0.4478724,0.43745792,0.52121127,0.342629,0.42403406,0.6049664,0.32550347,0.5531212,0.3726308,0.65024006,0.4742294,0.3734768,0.28145486,0.2892193,0.460247,0.43255943,0.33865774
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,0.37235022,0.4306724,0.044572476,0.42761713,0.3264207,0.33524743,0.29319385,0.40902388,0.3946435,0.4257493,0.22647311,0.32478222,0.25294706,0.45788947,0.2787736,0.40355396,0.27691072,0.4372114,0.50593925,0.18632603,0.32544723,0.30437177,0.31431645,0.26539794,0.36161608
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,0.40036187,0.3911664,0.30819604,0.39074618,0.3636442,0.27882597,0.43894356,0.3819084,0.31871974,0.3743198,0.52517956,0.39536634,0.5252282,0.36866486,0.3428324,0.41828105,0.5980803,0.5458422,0.3637246,0.35572213,0.33451262,0.27397662,0.44921398,0.3630131,0.3093201
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,0.5231664,0.5160463,0.1733187,0.5364554,0.3276627,0.47150183,0.49471152,0.4724719,0.4485613,0.50727606,0.53630316,0.45871598,0.54992217,0.39319354,0.41061813,0.47057623,0.41166687,0.56971115,0.5217426,0.40089953,0.40025073,0.3343054,0.55610514,0.5031787,0.3747754
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement,0.34658676,0.42808777,0.2154153,0.4112299,0.3218279,0.37997872,0.41551548,0.37413335,0.30643576,0.47263503,0.43828255,0.38726395,0.44303593,0.36555493,0.33364007,0.4003979,0.30407143,0.46033967,0.4168681,0.44223773,0.3716612,0.3785343,0.40013778,0.33822024,0.26561382
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement,0.4198511,0.44568953,0.26635456,0.553309,0.3804017,0.43208164,0.4412853,0.35663933,0.43926445,0.488563,0.51929903,0.4772208,0.58737946,0.36028346,0.3722911,0.44784135,0.35199347,0.44274074,0.48722318,0.31983772,0.38232446,0.34816462,0.48905554,0.35421732,0.3306176
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT",0.41166186,0.4022399,0.17525423,0.50686216,0.28793764,0.40211487,0.40249968,0.39858976,0.4359088,0.3958241,0.42126083,0.35163802,0.39494485,0.46990815,0.311989,0.39191017,0.2782954,0.48372155,0.44513464,0.40563422,0.3309683,0.31898624,0.49836457,0.3994703,0.36884266
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,0.32259995,0.35194364,0.17925376,0.55331814,0.30884534,0.31578505,0.34697732,0.32036957,0.3458671,0.48542282,0.36951846,0.39822352,0.31900525,0.35823154,0.35937697,0.39624986,0.24497268,0.47251403,0.3746122,0.21806177,0.27161062,0.20670643,0.34325606,0.36239243,0.3045475
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,0.47920507,0.4070776,0.07930961,0.40535083,0.2766011,0.26299062,0.41457063,0.48560268,0.47339755,0.41670805,0.35971412,0.36686665,0.50013995,0.38828227,0.30349565,0.3911595,0.31110507,0.4103161,0.42233256,0.23639405,0.3110965,0.21017677,0.40689528,0.3956406,0.29526722
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,0.40140152,0.42007953,0.24708901,0.4642119,0.3539787,0.37106058,0.53362525,0.5380364,0.47340137,0.5268737,0.60352397,0.42489004,0.65094066,0.46128488,0.42358184,0.47996548,0.3772843,0.5870736,0.44411933,0.39317617,0.4771213,0.37241247,0.58343947,0.5536029,0.46014255
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,0.4594759,0.5579626,0.15663774,0.5446065,0.35677633,0.4953249,0.5246239,0.4936628,0.56593776,0.47933292,0.4495975,0.5324033,0.49274784,0.4825284,0.37736556,0.4728727,0.40743718,0.55188274,0.5596521,0.31560332,0.46078032,0.46489045,0.5610302,0.457384,0.3792121
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,0.37372673,0.30661362,0.27017787,0.38402644,0.20348059,0.37023252,0.4454894,0.32677484,0.31131124,0.3896348,0.5779636,0.3650374,0.5704667,0.39926955,0.38526487,0.32283616,0.3279791,0.39322922,0.32327527,0.39465356,0.4093848,0.28141224,0.43288943,0.4252935,0.34000546
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,0.33726102,0.39668334,0.21757168,0.46499115,0.25285986,0.4120222,0.4614844,0.39701098,0.39782804,0.3958826,0.46641284,0.37181488,0.4673289,0.4316796,0.4525501,0.36623392,0.3338796,0.43641835,0.37112516,0.49964398,0.4392676,0.2733174,0.4875869,0.38844788,0.34772253
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,0.29245603,0.36497706,0.117722765,0.39493376,0.35462648,0.47323728,0.41265297,0.35099262,0.3382429,0.39211744,0.41042238,0.35418168,0.35616794,0.27849394,0.34172606,0.39023358,0.38342923,0.39505994,0.25139683,0.4166811,0.32689825,0.34389722,0.4996482,0.35984278,0.30900437
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT",0.39912525,0.40171194,0.13951701,0.38304448,0.3383202,0.2951433,0.41252762,0.4866135,0.35980695,0.47551835,0.49065065,0.38153693,0.42647702,0.39794242,0.43940336,0.3734153,0.29449224,0.5166278,0.43285707,0.3441049,0.3745469,0.2703755,0.4773985,0.5195855,0.44030797
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT,0.40389228,0.44065273,0.28663954,0.45340258,0.33100682,0.40473044,0.4157015,0.39383,0.50857127,0.41413027,0.44007328,0.51454544,0.500075,0.32206342,0.41056213,0.4090848,0.30650502,0.3588713,0.3702758,0.29028898,0.54936403,0.3688322,0.4783056,0.3864544,0.3968368
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",0.32588422,0.3070914,0.29427236,0.38633627,0.27560896,0.2767604,0.45855623,0.3500202,0.359603,0.54437387,0.6673763,0.3532599,0.63947797,0.2996336,0.39506936,0.31274742,0.3113578,0.47230783,0.36961228,0.35572994,0.36349744,0.33738136,0.3860289,0.52585256,0.4018908
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT,0.4275275,0.39826006,0.25043857,0.492525,0.2982539,0.4669844,0.48779225,0.4610274,0.41401154,0.45093554,0.54967475,0.3468893,0.5658097,0.43074948,0.38687366,0.4158433,0.3249727,0.48535025,0.4031667,0.38646328,0.39136225,0.28001544,0.48869833,0.48839226,0.39727563
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT,0.2886905,0.33041596,0.33962956,0.45446068,0.31720668,0.40322718,0.48191944,0.4337716,0.3538072,0.34182253,0.62365484,0.40619144,0.5422684,0.48121822,0.30575305,0.39777595,0.3071427,0.55538243,0.37700686,0.45900258,0.39763227,0.30265513,0.46892938,0.49791986,0.32878125
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,0.41463897,0.47928578,0.2769695,0.509518,0.27083483,0.34277946,0.5056465,0.42901376,0.36429852,0.5073487,0.6492326,0.41693664,0.61138093,0.43826666,0.46431857,0.51698357,0.5323971,0.5631194,0.44912016,0.44456786,0.40350384,0.33108082,0.48543686,0.5002922,0.3512247
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,0.39578795,0.344407,0.20928341,0.4101088,0.25983965,0.30591148,0.43637168,0.38436347,0.45308203,0.38252607,0.5534327,0.31940004,0.518705,0.4267509,0.3108884,0.40678596,0.34492797,0.46309626,0.34110916,0.38912672,0.37462896,0.3511062,0.44427982,0.4250989,0.37240857
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,0.41246,0.401222,0.32177955,0.36821526,0.2635274,0.34799334,0.4736527,0.5667734,0.4019869,0.4474578,0.6017022,0.35121632,0.55973214,0.5129518,0.39404756,0.43409002,0.40076217,0.5580992,0.43558323,0.3381389,0.41559872,0.2912566,0.46842867,0.51615757,0.39086482
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,0.40922248,0.4006812,0.26119965,0.49324656,0.35565138,0.44113195,0.423456,0.46442503,0.49801227,0.43804848,0.53883475,0.50876117,0.54860103,0.4838062,0.37369627,0.40814212,0.3411324,0.50111073,0.5323863,0.36237025,0.45717177,0.40243894,0.55180985,0.50649726,0.3354599
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,0.31244108,0.21944954,0.28717345,0.35976574,0.296081,0.24624032,0.4066381,0.37812582,0.32789594,0.3082658,0.59172887,0.36122084,0.47722548,0.30800515,0.24866532,0.29967844,0.28888753,0.40615922,0.30617177,0.4258786,0.33453315,0.30446044,0.41895616,0.47685468,0.30443132
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,0.4227683,0.48192275,0.16771504,0.40164462,0.5008511,0.38909966,0.43801466,0.3327914,0.37438887,0.48605084,0.38180062,0.41339403,0.44535124,0.37015066,0.4114278,0.4172567,0.45601168,0.4390643,0.44291663,0.31725,0.365707,0.3120916,0.40303522,0.31373036,0.33418757
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT",0.4593961,0.39488554,0.18858959,0.5020725,0.30477166,0.41092843,0.48347235,0.5120593,0.39154172,0.46792665,0.52814573,0.4203326,0.49533302,0.49647534,0.44598538,0.42577922,0.34560433,0.59617627,0.47416973,0.39945215,0.4068925,0.3669761,0.4631573,0.52818877,0.4217875
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.,0.3065176,0.33008394,0.30205637,0.4203586,0.33929077,0.34977376,0.3528871,0.42713794,0.3607403,0.35157776,0.6062711,0.35795584,0.49747306,0.40083626,0.36569637,0.29400313,0.22270654,0.4811349,0.41006157,0.36024803,0.33344936,0.25209928,0.5579815,0.5463197,0.30947208
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,0.31955373,0.36663747,0.33961922,0.3376298,0.30278164,0.2653005,0.41847312,0.3696556,0.31922328,0.4936889,0.6212163,0.39284468,0.636694,0.27329654,0.3534667,0.33864254,0.32581556,0.42105597,0.3376631,0.34838426,0.40879437,0.33543777,0.3693627,0.45521963,0.30334598
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,0.2626208,0.2945592,0.25376797,0.39446735,0.28043407,0.3608113,0.4691724,0.40099525,0.31201994,0.4177522,0.51996076,0.32334095,0.5224644,0.42012966,0.35641816,0.32445922,0.2170837,0.428129,0.4364147,0.48276117,0.3441637,0.21485062,0.33728406,0.40907332,0.3071888
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT,0.26634115,0.3024584,0.29351884,0.37287,0.33297518,0.36333784,0.46020406,0.4193533,0.32823783,0.41814286,0.58787215,0.31325856,0.5633484,0.40665776,0.43637127,0.37041378,0.26943126,0.47038323,0.39220548,0.43657368,0.3797515,0.25838685,0.36337972,0.53350586,0.3790864
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,0.38223243,0.37675393,0.26666865,0.4629397,0.33728504,0.4353758,0.43825328,0.39822906,0.40577012,0.45931035,0.552951,0.397085,0.56391,0.4089978,0.41607344,0.3792384,0.3789547,0.41646135,0.37702993,0.42793083,0.50965786,0.38432556,0.47859377,0.4224589,0.37355977
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,0.47358724,0.5062007,0.1562222,0.4839151,0.35806346,0.49271953,0.5659585,0.506101,0.51830316,0.5228729,0.44374046,0.4706865,0.4752745,0.3921787,0.3211763,0.48403168,0.45520133,0.5300071,0.4915117,0.2802307,0.36805958,0.39479673,0.51984364,0.3965776,0.39133817
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT",0.40750587,0.4303908,0.3631247,0.46276033,0.36930797,0.39285624,0.45236826,0.39197347,0.4450334,0.5309801,0.61012924,0.46092463,0.6958239,0.37845922,0.40336597,0.38908494,0.37359843,0.45537633,0.4339365,0.34785095,0.43490022,0.30912143,0.50034124,0.4666956,0.33943027
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT,0.41554052,0.43866208,0.31560686,0.44732863,0.4404146,0.4317065,0.46070632,0.42191452,0.4320786,0.4605954,0.5297501,0.4511559,0.6029016,0.32411236,0.4728553,0.445193,0.33470196,0.38147184,0.42408884,0.37222534,0.5430007,0.3950706,0.42879862,0.47950467,0.42858484
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,0.3297626,0.3184383,0.30609536,0.43171734,0.27948183,0.37832248,0.3837765,0.43035167,0.36844456,0.4199599,0.57216513,0.40789795,0.5432638,0.38141757,0.53121424,0.36389324,0.31187606,0.45341742,0.34850723,0.34832156,0.51065785,0.36363342,0.5440327,0.38535684,0.37889284
